642.8,483.2,829
708.8,410.1,658
746.9,395,265
700.6,401.6,1629
698.9,447.6,233
701.1,406.7,60
666,380.1,325
677.5,384.8,448
729.7,436.4,230
710.9,436.6,555
711.4,473.4,226
709,419.2,534
725.8,391.3,172
710.7,378.7,1134
762.8,349.4,310
751.5,357.9,254
766.2,377.7,37
751.7,394.2,266
691.2,437.8,236
692.1,416.4,218
665.4,418.1,221
702.4,440.8,260
677.9,441,174
697.4,393.5,826
697.5,456.8,348
713.3,413.7,820
644.5,381.4,470
688.9,361.5,79
685.2,369.9,920
737.1,367.9,287
708.2,408.1,255
721,370.5,272
747.4,378,384
714.3,371.8,520
741.6,417.4,242
697.6,412.7,748
691.2,447.4,311
697.9,404.3,615
736.2,432.3,229
717.6,424.2,324
726.2,391.3,952
769.5,424,361
738.4,404,363
712.8,397.3,1012
686.2,420.3,585
683.8,480.2,640
723.2,478.2,189
714.6,480.1,1339
713,435.9,1127
732.9,418.2,280
707.5,390.8,193
681.5,396.8,300
694.3,381.4,621
650,446.1,855
773.1,434.4,1669
737.1,361.8,568
621.3,416.2,530
586.1,435.9,761
545.1,439.6,384
600.7,434,98
558,431.8,114
666,361.8,129
783.6,449,351
913.5,601.5,106
766.1,778.8,284
717.7,430.3,116
602,195.5,145
1003.7,226.5,236
839.1,454.6,187
785.3,481,187
262,307.9,199
816.4,478.4,1105
440.1,475.5,180
821.8,476.7,275
1000.7,472.2,323
1038.2,477,647
1026.3,474.4,733
